iter	Passed	Remaining
0	0	67
1	1	60
2	1	60
3	2	56
4	2	56
5	3	54
6	4	53
7	4	52
8	5	50
9	5	50
10	6	48
11	6	48
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	44
18	10	44
19	10	43
20	11	43
21	11	42
22	12	41
23	12	40
24	13	40
25	14	40
26	14	39
27	15	39
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
