iter	Passed	Remaining
0	0	741
1	1	718
2	2	706
3	2	672
4	3	656
5	3	651
6	4	640
7	5	637
8	5	638
9	6	635
10	7	634
11	7	633
12	8	639
13	9	645
14	9	646
15	10	640
16	11	636
17	11	637
18	12	635
19	12	630
20	13	628
21	14	625
22	14	623
23	15	621
24	15	616
25	16	614
26	17	615
27	17	615
28	18	612
29	18	611
30	19	608
31	20	605
32	20	603
33	21	601
34	21	599
35	22	598
36	23	603
37	24	608
38	24	614
39	25	615
40	26	613
41	26	614
42	27	613
43	28	613
44	28	612
45	29	611
46	30	610
47	30	608
48	31	608
49	31	607
50	32	606
51	33	604
52	33	604
53	34	603
54	35	602
55	35	601
56	36	600
57	36	599
58	37	601
59	38	601
60	39	602
61	39	601
62	40	600
63	40	599
64	41	598
65	42	598
66	42	596
67	43	595
68	44	594
69	44	594
70	45	593
71	45	592
72	46	590
73	47	589
74	47	587
75	48	586
76	48	584
77	49	583
78	50	583
79	50	582
80	51	583
81	52	584
82	52	582
83	53	582
84	54	582
85	54	582
86	55	582
87	56	581
88	56	580
89	57	579
90	57	578
91	58	577
92	59	577
93	59	576
94	60	574
95	60	574
96	61	573
97	62	572
98	62	571
99	63	569
100	63	567
101	64	566
102	64	564
103	65	564
104	66	564
105	66	564
106	68	569
107	69	570
108	69	569
109	70	568
110	70	567
111	71	566
112	72	566
113	72	565
114	73	564
115	73	563
116	74	561
117	75	560
118	75	559
119	76	558
120	76	557
121	77	555
122	77	554
123	78	553
124	79	553
125	79	551
126	80	550
127	80	549
128	81	548
129	81	547
130	82	547
131	83	547
132	83	546
133	84	545
134	84	544
135	85	543
136	86	542
137	86	540
138	87	539
139	87	537
140	88	537
141	88	535
142	89	534
143	89	533
144	90	531
145	90	531
146	91	529
147	91	528
148	92	527
149	93	527
150	93	526
151	94	526
152	94	525
153	95	524
154	96	523
155	96	522
156	97	522
157	98	522
158	98	521
159	99	520
160	99	519
161	100	518
162	100	517
163	101	516
164	101	515
165	102	515
166	103	514
167	103	513
168	104	512
169	104	511
170	105	510
171	105	509
172	106	510
173	107	510
174	108	509
175	108	509
176	109	508
177	110	508
178	110	508
179	111	507
180	111	506
181	112	505
182	113	505
183	113	504
184	114	504
185	115	504
186	116	504
187	116	503
188	117	502
189	117	501
190	118	501
191	118	500
192	119	499
193	119	498
194	121	499
195	122	501
196	123	501
197	123	501
198	124	500
199	124	499
200	125	498
201	126	497
202	126	497
203	127	496
204	127	496
205	128	495
206	129	495
207	130	495
208	130	495
209	131	495
210	132	495
211	133	494
212	133	493
213	134	492
214	134	491
215	135	491
216	136	492
217	137	492
218	137	491
219	138	491
220	139	491
221	140	491
222	140	491
223	141	490
224	142	490
225	143	490
226	143	489
227	144	489
228	145	488
229	145	488
230	146	488
231	147	488
232	148	488
233	149	488
234	150	488
235	150	488
236	151	487
237	152	487
238	152	486
239	153	485
240	154	485
241	154	484
242	155	483
243	155	482
244	156	481
245	156	480
246	157	479
247	157	478
248	158	477
249	158	476
250	159	475
251	160	475
252	160	474
253	161	473
254	161	472
255	162	471
256	163	471
257	163	471
258	164	471
259	165	470
260	166	470
261	166	469
262	167	468
263	167	467
264	168	466
265	168	465
266	169	465
267	169	464
268	170	463
269	171	463
270	171	462
271	172	461
272	173	461
273	173	460
274	174	459
275	174	458
276	175	457
277	175	456
278	176	456
279	177	455
280	177	455
281	178	454
282	179	454
283	179	453
284	180	452
285	180	451
286	181	451
287	182	450
288	182	449
289	183	448
290	183	447
291	184	447
292	184	446
293	185	445
294	186	444
295	186	443
296	187	443
297	187	442
298	188	442
299	189	441
300	189	440
301	190	440
302	191	440
303	192	440
304	193	440
305	194	440
306	194	439
307	195	438
308	195	437
309	196	437
310	196	436
311	197	435
312	198	434
313	198	434
314	199	433
315	199	432
316	200	431
317	200	430
318	201	430
319	201	429
320	202	428
321	202	427
322	203	426
323	204	425
324	204	425
325	205	424
326	206	424
327	206	423
328	207	423
329	207	422
330	208	421
331	209	420
332	209	420
333	210	419
334	210	418
335	211	417
336	212	417
337	212	416
338	213	415
339	213	414
340	214	414
341	214	413
342	215	412
343	216	411
344	216	411
345	217	411
346	218	411
347	219	410
348	220	410
349	220	410
350	221	410
351	222	409
352	223	409
353	224	408
354	224	407
355	225	407
356	225	406
357	226	406
358	226	405
359	227	404
360	228	403
361	228	402
362	229	401
363	229	401
364	230	400
365	230	399
366	231	399
367	231	398
368	232	397
369	233	397
370	234	397
371	235	396
372	235	396
373	236	395
374	237	395
375	237	394
376	238	394
377	239	393
378	239	392
379	240	392
380	240	391
381	241	390
382	242	390
383	242	389
384	243	388
385	243	387
386	244	386
387	244	386
388	245	385
389	245	384
390	246	383
391	247	384
392	248	384
393	249	383
394	250	383
395	250	382
396	251	382
397	252	382
398	253	381
399	253	380
400	254	379
401	254	379
402	255	378
403	256	377
404	256	377
405	257	376
406	257	375
407	258	374
408	258	374
409	259	373
410	259	372
411	260	372
412	261	371
413	261	370
414	262	369
415	262	368
416	263	368
417	264	367
418	264	366
419	265	366
420	265	365
421	266	365
422	267	364
423	268	364
424	268	363
425	269	362
426	269	362
427	270	361
428	271	360
429	271	360
430	272	359
431	272	358
432	273	357
433	273	357
434	274	356
435	275	356
436	276	355
437	276	355
438	277	354
439	277	353
440	278	352
441	278	352
442	279	351
443	280	350
444	280	350
445	281	349
446	281	348
447	282	348
448	283	347
449	284	347
450	284	346
451	285	346
452	286	345
453	287	345
454	287	344
455	288	343
456	288	343
457	289	342
458	290	341
459	290	341
460	291	340
461	291	339
462	292	339
463	292	338
464	293	337
465	294	336
466	294	336
467	295	335
468	295	334
469	296	333
470	296	333
471	297	332
472	297	331
473	298	331
474	299	330
475	299	329
476	300	329
477	300	328
478	301	327
479	301	326
480	302	326
481	302	325
482	303	324
483	304	324
484	304	323
485	305	323
486	306	322
487	306	322
488	307	321
489	308	320
490	308	320
491	309	319
492	310	318
493	310	318
494	311	317
495	311	316
496	312	316
497	313	315
498	313	315
499	314	314
500	315	313
501	315	313
502	316	312
503	316	311
504	317	311
505	318	310
506	319	310
507	319	309
508	320	309
509	321	308
510	322	308
511	322	307
512	323	306
513	323	306
514	324	305
515	325	305
516	325	304
517	326	303
518	327	303
519	327	302
520	328	302
521	329	301
522	330	300
523	330	300
524	331	299
525	331	298
526	332	298
527	333	297
528	333	297
529	334	296
530	335	295
531	335	295
532	336	294
533	336	293
534	337	293
535	337	292
536	338	291
537	338	290
538	339	290
539	339	289
540	340	288
